"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Tue Aug 10 14:32:20 GMT 2021","Tue Aug 10 14:32:20 GMT 2021","3","src.tests.automation","test_writefromfile","","","","test_writefromfile",""
"broken","Tue Aug 10 14:32:19 GMT 2021","Tue Aug 10 14:32:19 GMT 2021","2","src.tests.automation","test_pagination","","","","test_pagination",""
"broken","Tue Aug 10 14:32:11 GMT 2021","Tue Aug 10 14:32:11 GMT 2021","2","src.tests.automation","test_deletedata","","","","test_deletedata",""
"failed","Tue Aug 10 14:32:12 GMT 2021","Tue Aug 10 14:32:19 GMT 2021","7684","src.tests.automation","test_login","","","","test_login",""
"broken","Tue Aug 10 14:32:20 GMT 2021","Tue Aug 10 14:32:20 GMT 2021","0","src.tests.automation","test_registration","","","","testregistration",""
"broken","Tue Aug 10 14:32:19 GMT 2021","Tue Aug 10 14:32:19 GMT 2021","2","src.tests.automation","test_policy","","","","test_policy",""
"broken","Tue Aug 10 14:32:12 GMT 2021","Tue Aug 10 14:32:12 GMT 2021","3","src.tests.automation","test_editdata","","","","test_editdata",""
"broken","Tue Aug 10 14:32:19 GMT 2021","Tue Aug 10 14:32:19 GMT 2021","0","src.tests.automation","test_logout","","","","test_logout",""
"broken","Tue Aug 10 14:32:12 GMT 2021","Tue Aug 10 14:32:12 GMT 2021","3","src.tests.automation","test_listallelements","","","","test_listallelements",""
"broken","Tue Aug 10 14:32:11 GMT 2021","Tue Aug 10 14:32:11 GMT 2021","2","src.tests.automation","test_adddata","","","","test_adddata",""
"passed","Tue Aug 10 14:32:01 GMT 2021","Tue Aug 10 14:32:11 GMT 2021","10643","src.tests","test_example","","","","test_hi",""
